y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count,month,first_count
515522,고스트버스터즈,폴 페이그,유니버설픽쳐스인터내셔널 코리아(유),2016-08-25,미국,액션,12세이상관람가,상업영화,일반영화,116분 28초,멜리사 맥카시,크리스 헴스워스,크리스틴 위그,5,8,994,8,32371
514417,퍼스트 어벤져,조 존스톤,씨제이이앤엠(주),2011-07-28,미국,액션,12세이상관람가,상업영화,일반영화,123분 0초,크리스 에반스,휴고 위빙,헤일리 앳웰,11,42,330,7,63024
513202,거울나라의 앨리스,제임스 보빈,월트디즈니컴퍼니코리아(주),2016-09-07,미국,어드벤처,12세이상관람가,상업영화,일반영화,112분 48초,조니 뎁,앤 해서웨이,미아 와시코브스카,6,10,2402,9,19058
501286,그레이트 월,장예모,유니버설픽쳐스인터내셔널 코리아(유),2017-02-15,미국,판타지,12세이상관람가,상업영화,일반영화,103분 4초,맷 데이먼,페드로 파스칼,윌렘 데포,8,9,2098,2,46451
498004,노예 12년,스티브 맥퀸,"판씨네마(주),(주)프레인글로벌",2014-02-27,미국,드라마,15세이상관람가,상업영화,일반영화,133분 55초,치웨텔 에지오포,마이클 패스벤더,베네딕트 컴버배치,18,57,6099,2,21698
487916,카3: 새로운 도전,브라이언 피,월트디즈니컴퍼니코리아 유한책임회사,2017-07-13,미국,애니메이션,전체관람가,상업영화,일반영화,108분 58초,아미 해머,나단 필리온,오웬 윌슨,11,15,4764,7,17037
475309,트리플 엑스 리턴즈,D.J. 카루소,롯데쇼핑㈜롯데엔터테인먼트,2017-02-08,미국,액션,15세이상관람가,상업영화,일반영화,106분 36초,빈 디젤,사무엘 L. 잭슨,루비 로즈,3,3,1010,2,68598
465607,카 2,존 라세터,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-07-20,미국,애니메이션,전체관람가,상업영화,일반영화,113분 0초,오웬 윌슨,마이클 케인,NA,14,43,8726,7,10974
464607,생텀,앨리스터 그리어슨,(주)시너지하우스 (시너지),2011-02-10,미국,어드벤처,15세이상관람가,상업영화,일반영화,108분 0초,이안 그루퍼드,리차드 록스버그,라이스 웨이크필드,5,8,1715,2,45842
462176,락아웃: 익스트림미션,"제임스 매더스,스테판 St. 레게르",롯데쇼핑㈜롯데엔터테인먼트,2012-06-14,미국,SF,15세이상관람가,상업영화,일반영화,94분 0초,가이 피어스,매기 그레이스,조셉 길건,11,14,2550,6,33802
459421,라이프,다니엘 에스피노사,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-05,미국,SF,15세이상관람가,상업영화,일반영화,103분 48초,제이크 질렌할,레베카 퍼거슨,라이언 레놀즈,351,1134,14215,4,42630
449071,클라우드 아틀라스,"앤디 워쇼스키,라나 워쇼스키,톰 티크베어",(주)넥스트엔터테인먼트월드(NEW),2013-01-09,미국,SF,청소년관람불가,상업영화,일반영화,172분 0초,톰 행크스,할리 베리,휴 그랜트,9,17,3727,1,43541
448923,히든 피겨스,데오도르 멜피,이십세기폭스코리아(주),2017-03-23,미국,드라마,12세이상관람가,상업영화,일반영화,126분 37초,타라지 P. 헨슨,옥타비아 스펜서,케빈 코스트너,24,95,15242,3,15834
